record_id,fold,batch,duplicate_group_id
BAH-P-0001,3,1,-1
BAH-P-0004,0,1,-1
BAH-P-0005,0,1,-1
BAH-P-0006,1,1,-1
BAH-P-0007,4,1,-1
BAH-P-0008,2,1,-1
BAH-P-0009,4,1,-1
BAH-P-0010,1,1,-1
BAH-P-0011,3,1,-1
BAH-P-0012,3,1,-1
BAH-P-0014,3,1,-1
BAH-P-0015,0,1,-1
BAH-P-0016,1,1,-1
BAH-P-0017,4,1,-1
BAH-P-0018,4,1,-1
BAH-P-0019,2,1,-1
BAH-P-0020,3,1,-1
BAH-P-0021,4,1,-1
BAH-P-0022,2,1,-1
BAH-P-0023,4,1,-1
BAH-P-0024,0,1,-1
BAH-P-0025,4,1,-1
BAH-P-0026,2,1,-1
BAH-P-0028,4,1,-1
BAH-P-0030,1,1,-1
BAH-P-0031,2,1,-1
BAH-P-0032,0,1,-1
BAH-P-0033,2,1,-1
BAH-P-0034,1,1,-1
BAH-P-0035,1,1,-1
BAH-P-0036,0,1,-1
BAH-P-0037,3,1,-1
BAH-P-0038,4,1,-1
BAH-P-0040,4,1,-1
BAH-P-0041,3,1,-1
BAH-P-0042,3,1,-1
BAH-P-0043,1,1,-1
BAH-P-0044,3,1,-1
BAH-P-0045,2,1,-1
BAH-P-0046,3,1,-1
BAH-P-0047,2,1,-1
BAH-P-0048,3,1,-1
BAH-P-0049,3,1,-1
BAH-P-0050,1,1,-1
BAH-P-0051,2,1,-1
BAH-P-0052,2,1,-1
BAH-P-0053,1,1,-1
BAH-P-0054,3,1,-1
BAH-P-0055,4,1,-1
BAH-P-0056,1,1,-1
BAH-P-0057,3,1,-1
BAH-P-0058,4,1,-1
BAH-P-0059,1,1,-1
BAH-P-0060,0,1,-1
BAH-P-0061,4,1,-1
BAH-P-0062,3,1,-1
BAH-P-0063,3,1,-1
BAH-P-0064,3,1,-1
BAH-P-0065,4,1,1
BAH-P-0066,4,1,-1
BAH-P-0067,0,1,-1
BAH-P-0068,4,1,1
BAH-P-0070,2,1,-1
BAH-P-0071,1,1,-1
BAH-P-0072,4,1,-1
BAH-P-0073,2,1,-1
BAH-P-0074,4,1,-1
BAH-P-0077,3,1,-1
BAH-P-0078,4,1,-1
BAH-P-0079,4,1,-1
BAH-P-0080,0,1,-1
BAH-P-0081,3,1,-1
BAH-P-0082,3,1,-1
BAH-P-0083,3,1,-1
BAH-P-0084,2,1,-1
BAH-P-0086,2,1,-1
BAH-P-0087,1,1,-1
BAH-P-0088,2,1,-1
BAH-P-0089,0,1,-1
BAH-P-0090,2,1,-1
BAH-P-0091,4,1,-1
BAH-P-0092,4,1,-1
BAH-P-0094,4,1,-1
BAH-P-0095,1,1,-1
BAH-P-0096,1,1,-1
BAH-P-0099,3,1,-1
BAH-P-0100,1,1,-1
BAH-P-0101,0,1,-1
BAH-P-0102,3,1,-1
BAH-P-0103,4,1,-1
BAH-P-0104,3,1,-1
BAH-P-0105,4,1,-1
BAH-P-0106,0,1,-1
BAH-P-0107,0,1,-1
BAH-P-0108,1,1,-1
BAH-P-0109,1,1,-1
BAH-P-0110,3,1,-1
BAH-P-0111,4,1,-1
BAH-P-0112,3,1,-1
BAH-P-0113,2,1,-1
BAH-P-0114,4,1,-1
BAH-P-0116,2,1,-1
BAH-P-0117,0,1,-1
BAH-P-0118,0,1,-1
BAH-P-0119,4,1,-1
BAH-P-0120,0,1,-1
BAH-P-0121,4,1,-1
BAH-P-0122,3,1,-1
BAH-P-0123,0,1,-1
BAH-P-0124,1,1,-1
BAH-P-0125,4,1,-1
BAH-P-0126,4,1,-1
BAH-P-0127,1,1,-1
BAH-P-0128,1,1,-1
BAH-P-0129,4,1,-1
BAH-P-0130,4,1,-1
BAH-P-0131,0,1,-1
BAH-P-0132,0,1,-1
BAH-P-0134,1,1,-1
BAH-P-0135,0,1,-1
BAH-P-0136,3,1,-1
BAH-P-0137,3,1,-1
BAH-P-0138,0,1,-1
BAH-P-0139,2,1,-1
BAH-P-0140,2,1,-1
BAH-P-0142,1,1,-1
BAH-P-0143,3,1,-1
BAH-P-0144,3,1,-1
BAH-P-0145,4,1,-1
BAH-P-0147,1,1,-1
BAH-P-0148,0,1,-1
BAH-P-0149,2,1,-1
BAH-P-0151,2,1,3
BAH-P-0152,2,1,-1
BAH-P-0154,1,1,-1
BAH-P-0155,2,1,-1
BAH-P-0156,2,1,-1
BAH-P-0157,4,1,-1
BAH-P-0159,0,1,-1
BAH-P-0160,2,1,-1
BAH-P-0161,3,1,-1
BAH-P-0162,1,1,4
BAH-P-0163,4,1,-1
BAH-P-0164,0,1,-1
BAH-P-0165,2,1,-1
BAH-P-0166,0,1,-1
BAH-P-0167,4,1,-1
BAH-P-0168,3,1,-1
BAH-P-0169,3,1,-1
BAH-P-0171,1,1,-1
BAH-P-0172,3,1,-1
BAH-P-0174,0,1,-1
BAH-P-0175,3,1,-1
BAH-P-0177,2,1,-1
BAH-P-0178,0,1,-1
BAH-P-0179,0,1,-1
BAH-P-0180,1,1,-1
BAH-P-0181,1,1,-1
BAH-P-0182,3,1,-1
BAH-P-0183,3,1,-1
BAH-P-0184,4,1,-1
BAH-P-0185,0,1,-1
BAH-P-0186,2,1,-1
BAH-P-0187,4,1,-1
BAH-P-0188,1,1,-1
BAH-P-0189,4,1,-1
BAH-P-0190,1,1,-1
BAH-P-0191,1,1,-1
BAH-P-0192,2,1,-1
BAH-P-0193,3,1,-1
BAH-P-0194,0,1,-1
BAH-P-0195,4,1,-1
BAH-P-0196,0,1,-1
BAH-P-0200,4,1,-1
BAH-P-0201,1,1,-1
BAH-P-0202,2,1,-1
BAH-P-0203,2,1,-1
BAH-P-0205,0,1,-1
BAH-P-0206,3,1,-1
BAH-P-0207,2,1,-1
BAH-P-0212,4,1,-1
BAH-P-0213,2,1,-1
BAH-P-0214,2,1,-1
BAH-P-0215,2,1,-1
BAH-P-0216,3,1,-1
BAH-P-0217,1,1,-1
BAH-P-0218,3,1,-1
BAH-P-0219,4,1,-1
BAH-P-0220,0,1,-1
BAH-P-0222,2,1,-1
BAH-P-0224,4,1,-1
BAH-P-0225,1,1,-1
BAH-P-0226,0,1,-1
BAH-P-0227,2,1,-1
BAH-P-0228,1,1,-1
BAH-P-0230,1,1,-1
BAH-P-0231,4,1,-1
BAH-P-0234,1,1,-1
