record_id,batch,template_flag,pubmedbert__text_section_tagged__n_tokens,pubmedbert__text_section_tagged__n_unk,pubmedbert__text_section_tagged__unk_rate,pubmedbert__text_section_tagged__n_segments_at_128,pubmedbert__text_concatenated__n_tokens,pubmedbert__text_concatenated__n_unk,pubmedbert__text_concatenated__unk_rate,pubmedbert__text_concatenated__n_segments_at_128,pathologybert__text_section_tagged__n_tokens,pathologybert__text_section_tagged__n_unk,pathologybert__text_section_tagged__unk_rate,pathologybert__text_section_tagged__n_segments_at_128,pathologybert__text_concatenated__n_tokens,pathologybert__text_concatenated__n_unk,pathologybert__text_concatenated__unk_rate,pathologybert__text_concatenated__n_segments_at_128
BAH-P-0001,1,False,93,0,0.0,1,65,0,0.0,1,91,2,0.02197802197802198,1,62,6,0.0967741935483871,1
BAH-P-0002,1,True,74,0,0.0,1,46,0,0.0,1,73,0,0.0,1,44,4,0.09090909090909091,1
BAH-P-0003,1,True,76,0,0.0,1,48,0,0.0,1,73,0,0.0,1,44,4,0.09090909090909091,1
BAH-P-0004,1,False,212,0,0.0,2,184,0,0.0,2,199,0,0.0,2,170,4,0.023529411764705882,2
BAH-P-0005,1,False,158,0,0.0,2,130,0,0.0,2,140,4,0.02857142857142857,2,111,8,0.07207207207207207,1
BAH-P-0006,1,False,102,0,0.0,1,74,0,0.0,1,97,0,0.0,1,68,4,0.058823529411764705,1
BAH-P-0007,1,False,95,0,0.0,1,67,0,0.0,1,89,0,0.0,1,60,4,0.06666666666666667,1
BAH-P-0008,1,False,123,0,0.0,1,95,0,0.0,1,113,0,0.0,1,84,4,0.047619047619047616,1
BAH-P-0009,1,False,119,0,0.0,1,90,0,0.0,1,110,0,0.0,1,80,4,0.05,1
BAH-P-0010,1,False,118,0,0.0,1,90,0,0.0,1,107,0,0.0,1,78,4,0.05128205128205128,1
BAH-P-0011,1,False,132,0,0.0,2,104,0,0.0,1,125,0,0.0,1,96,4,0.041666666666666664,1
BAH-P-0012,1,False,104,0,0.0,1,76,0,0.0,1,98,0,0.0,1,69,4,0.057971014492753624,1
BAH-P-0013,1,False,102,0,0.0,1,74,0,0.0,1,96,0,0.0,1,67,4,0.05970149253731343,1
BAH-P-0014,1,False,172,0,0.0,2,144,0,0.0,2,172,0,0.0,2,143,4,0.027972027972027972,2
BAH-P-0015,1,False,155,0,0.0,2,127,0,0.0,1,142,0,0.0,2,113,4,0.035398230088495575,1
BAH-P-0016,1,False,119,0,0.0,1,91,0,0.0,1,110,0,0.0,1,81,4,0.04938271604938271,1
BAH-P-0017,1,False,92,0,0.0,1,64,0,0.0,1,87,0,0.0,1,58,4,0.06896551724137931,1
BAH-P-0018,1,False,85,0,0.0,1,57,0,0.0,1,80,0,0.0,1,51,4,0.0784313725490196,1
BAH-P-0019,1,False,98,0,0.0,1,70,0,0.0,1,92,0,0.0,1,63,4,0.06349206349206349,1
BAH-P-0020,1,False,106,0,0.0,1,74,0,0.0,1,108,0,0.0,1,74,4,0.05405405405405406,1
BAH-P-0021,1,False,104,0,0.0,1,76,0,0.0,1,95,2,0.021052631578947368,1,66,6,0.09090909090909091,1
BAH-P-0022,1,False,139,0,0.0,2,113,0,0.0,1,139,0,0.0,2,111,4,0.036036036036036036,1
BAH-P-0023,1,False,99,0,0.0,1,71,0,0.0,1,92,0,0.0,1,63,4,0.06349206349206349,1
BAH-P-0024,1,False,126,0,0.0,1,98,0,0.0,1,112,0,0.0,1,83,4,0.04819277108433735,1
BAH-P-0025,1,False,109,0,0.0,1,81,0,0.0,1,101,4,0.039603960396039604,1,72,8,0.1111111111111111,1
BAH-P-0026,1,False,131,0,0.0,2,103,0,0.0,1,111,4,0.036036036036036036,1,82,8,0.0975609756097561,1
BAH-P-0027,1,False,189,0,0.0,2,161,0,0.0,2,173,2,0.011560693641618497,2,144,6,0.041666666666666664,2
BAH-P-0028,1,False,108,0,0.0,1,80,0,0.0,1,107,4,0.037383177570093455,1,78,8,0.10256410256410256,1
BAH-P-0029,1,False,109,0,0.0,1,85,0,0.0,1,98,0,0.0,1,74,3,0.04054054054054054,1
BAH-P-0030,1,False,116,0,0.0,1,88,0,0.0,1,109,2,0.01834862385321101,1,80,6,0.075,1
